# English-German dictionary created from English Wiktionary
# Created on: 2010-10-07T23:21:21+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
-ible	-bar
-ism	-ismus
-ity	-ität
-logy	-logie
A-bomb	Atombombe
AIDS	AIDS
ASAP	so schnell wie möglich
Aaron	Aaron
Abel	Abel
Abidjan	Abidjan
Abkhaz	Abchasisch
Abkhazian	abchasische Sprache
Abraham	Abraham
Abraham	Abe
Abu Dhabi	Abu Dhabi
Achilles	Achilleus
Achilles heel	Achillesferse
Achilles' tendon	Achillessehne
Acropolis	Akropolis
Adam	Adam
Adam	Adi
Adam and Eve	Adam und Eva
Adam's apple	Adamsapfel
Adelaide	Adelheid
Aden	Aden
Adolph	Adolf
Adrian	Adrian
Adriatic Sea	Adria
Aegean Sea	Ägäis
Aeschylus	Aischylos
Afghan	Afghane
Afghan	afghanisch
Afghan	Afghanisch
Afghanistan	Afghanistan
Africa	Afrika
Afrikaans	Afrikaans
Agatha	Agatha
Agnes	Agnes
Ainu	Ainu
Akkadian	akkadische
Al-Andalus	Al-Andalus
Alaska	Alaska
Alban	Alban
Albania	Albanien
Albanian	Albanisch
Albanian	Albanier
Albanian	albanisch
Albert	Albert
Albin	Albin
Alexander	Alexander
Alfred	Alfred
Algeria	Algerien
Algerian	Algerier
Algerian	algerisch
Algiers	Algier
Alice	Alice
Allah	Allah
Alphonse	Alfons
Alps	Alpen
Alzheimer's disease	Alzheimer-Krankheit
America	Amerika
American	Amerikaner
American	amerikanisch
American Samoa	Amerikanisch-Samoa
American bison	Nordamerikanischer Bison
Amharic	Amharisch
Amsterdam	Amsterdam
Andalusia	Andalusien
Andorra	Andorra
Andrew	Andreas
Angola	Angola
Ankara	Ankara
Ann	Anna
Anno Domini	Jahr des Herrn
Antarctica	Antarktis
Anthony	Anton
Antigua and Barbuda	Antigua und Barbuda
Apocalypse	Apokalypse
April	April
Apuleius	Apuleius
Aquarius	Wassermann
Arab	Araber
Arab	arabisch
Arabic	arabisch
Arabic	Arabisch
Ares	Ares
Argentina	Argentinien
Argentinian	argentinisch
Argentinian	Argentinier
Aries	Widder
Arkhangelsk	Archangelsk
Armageddon	Harmagedon
Armenia	Armenien
Armenian	Armenisch
Armenian	armenisch
Armenian	Armenier
Armenian SSR	Armenische SSR
Arthur	Arthur
Aruba	Aruba
Asia	Asien
Athena	Athene
Athens	Athen
Atlantis	Atlantis
August	August
Augustus	Augustus
Australia	Australien
Australian	Australier
Australian	australisch
Austria	Österreich
Austrian	Österreicher
Austrian	österreichisch
Ayers Rock	Uluru
Aymara	Aymara
Ayyavazhi	Ayyavazhi
Azerbaijan	Aserbaidschan
Azerbaijan SSR	Aserbaidschanische SSR
Azeri	Aserbaidschanisch
Azeri	Aserbaidschaner
Bactria	Baktrien
Baghdad	Bagdad
Bahamas	Bahamas
Bahrain	Bahrain
Balearic Islands	Balearische Inseln
Bali	Bali
Baltic Sea	Ostsee
Bangladesh	Bangladesch
Barbados	Barbados
Basque	Baskisch
Basque	Baske
Basque	baskisch
Bavaria	Bayern
Beijing	Peking
Beirut	Beirut
Belarus	Weißrussland
Belarusian	Weißrussisch
Belarusian	Belarusse
Belarusian	belarussisch
Belgian	Belgier
Belgian	belgisch
Belgium	Belgien
Belgrade	Belgrad
Belize	Belize
Belorussian	Weißrussisch
Bengali	Bengali
Benin	Benin
Bering Sea	Beringmeer
Berlin	Berlin
Bermuda	Bermudas
Bethlehem	Betlehem
Bhutan	Bhutan
Bible	Bibel
Black Death	Beulenpest
Black Sea	Schwarzes Meer
Bogota	Bogota, Bogotá
Bohemia	Böhmen
Bolivia	Bolivien
Bologna	Bologna
Bosnia	Bosnien
