Oktober_2019
# Monatstatistik Station: Feldberg-Feldberger Hof
Datum       Tmin      Tmit      Tmax      Sges      Rges      RFmit     Wmit      WBmax 
01.10.2019   7.7      10.1      13.5       4.2      15.7      92.7        15        56  
02.10.2019   1.6       5.6       8.8       0.0      21.3      99.8        13        48  
03.10.2019   0.0       3.3       7.3       6.3       0.0      92.9         5        19  
04.10.2019   2.4       4.3       6.3       0.0      17.8      97.9        14        50  
05.10.2019   5.3       5.9       7.3       0.0      14.8     100.0         6        39  
06.10.2019   3.5       5.9       7.2       0.0      27.5     100.0        12        57   
07.10.2019   2.9       4.4       6.1       0.3       0.0     100.0         9        31  
08.10.2019   7.0       7.6       7.9       0.6      13.7     100.0        16        59  
09.10.2019   4.0       5.4      10.1       0.0      28.1     100.0        13        63  
10.10.2019   3.8       4.6       5.3       0.0       6.0     100.0        15        61 
11.10.2019   4.6       8.2      12.0       7.9       0.0      87.4        14        41  
12.10.2019   9.3      12.4      16.4       7.1       0.0      77.3        14        50  
13.10.2019   9.7      15.1      19.1       9.4       0.0      68.9        10        44  
14.10.2019   9.8      14.4      19.0       9.4       0.0      66.3         7        28  
15.10.2019   3.8       8.9      14.4       1.4      14.9      84.3        11        46  
16.10.2019   3.4       6.1      10.4       8.5       0.0      87.8        13        43  
17.10.2019   6.9       8.8      12.7       5.3       4.8      84.9        16        56  
18.10.2019   6.0       7.8       9.9       0.1      34.0      99.5        13        44  
19.10.2019   6.3       7.1       7.9       0.0      11.2      99.9         9        37  
20.10.2019   6.5      11.1      16.6       7.6       2.6      82.0         6        35  
21.10.2019   7.9       9.2      10.4       0.0       8.6      99.1         6        30  
22.10.2019   7.0       8.7       9.8       0.2       0.0     100.0         6        24  
23.10.2019   8.5      14.8      18.9       6.7       0.0      53.7        10        37  
24.10.2019   7.6       9.6      13.7       3.8       0.0      86.7        11        33  
25.10.2019   5.9       7.8      12.4       5.6       0.0      92.3         8        33  
26.10.2019   7.5      11.7      16.0       8.7       0.0      65.3        13        43  
27.10.2019   7.2      10.2      13.2       7.0       2.9      85.0        11        43  
28.10.2019   4.4       6.9       8.5       0.0       3.2      98.9         5        37  
29.10.2019   0.4       2.9       5.7       0.0       2.5     100.0         5        22  
30.10.2019   0.5       1.3       3.1       0.0       7.4     100.0         5        19  
31.10.2019   2.6       4.7       7.6       0.1       0.2     100.0         6        22  
